Lineage,Hemisphere,Category,Count
DPLc5p,Left,SU,4
DPLc5p,Right,SU,5
DPLd,Left,SU,7
DPLd,Right,SU,7
DPLl1-3,Left,SU,6
DPLl1-3,Right,SU,6
DPLm1,Left,SU,1
DPLm1,Right,SU,1
DPLm2,Left,SU,1
DPLm2,Right,SU,0
DPLp1/2,Left,SU,0
DPLp1/2,Right,SU,0
DPMl1,Left,SU,7
DPMl1,Right,SU,7
DPMl2,Left,SU,7
DPMl2,Right,SU,7
DPMl3/4a,Left,SU,3
DPMl3/4a,Right,SU,3
DPMl3/4p,Left,SU,2
DPMl3/4p,Right,SU,2
DPMm1,Left,SU,27
DPMm1,Right,SU,29
DPMm2,Left,SU,4
DPMm2,Right,SU,4
DPMpl1/2,Left,SU,3
DPMpl1/2,Right,SU,3
DPMpl3,Left,SU,2
DPMpl3,Right,SU,3
DPMpm1,Left,SU,13
DPMpm1,Right,SU,12
DPMpm2,Left,SU,11
DPMpm2,Right,SU,12
MB-AL,Left,SU,7
MB-AL,Right,SU,6
MB-AM,Left,SU,0
MB-AM,Right,SU,3
MB-PL,Left,SU,6
MB-PL,Right,SU,7
MB-PM,Left,SU,11
MB-PM,Right,SU,11
OLP,Left,SU,0
OLP,Right,SU,0
S-AN,Left,SU,0
S-AN,Right,SU,0
S-LNa,Left,SU,0
S-LNa,Right,SU,0
S-LNad,Left,SU,0
S-LNad,Right,SU,0
S-LNp,Left,SU,0
S-LNp,Right,SU,0
S-MNa,Left,SU,0
S-MNa,Right,SU,0
S-MNp,Left,SU,0
S-MNp,Right,SU,0
S-MNp2,Left,SU,0
S-MNp2,Right,SU,0
S-PNa,Left,SU,0
S-PNa,Right,SU,0
S-PNm,Left,SU,0
S-PNm,Right,SU,0
S-PNp,Left,SU,0
S-PNp,Right,SU,0
S-PaN,Left,SU,0
S-PaN,Right,SU,0
TRdc,Left,SU,0
TRdc,Right,SU,0
TRdl-a/b,Left,SU,8
TRdl-a/b,Right,SU,7
TRdl-c,Left,SU,6
TRdl-c,Right,SU,6
TRdl-d,Left,SU,0
TRdl-d,Right,SU,0
TRdl-e,Left,SU,0
TRdl-e,Right,SU,0
TRdm,Left,SU,1
TRdm,Right,SU,1
TRmotor,Left,SU,2
TRmotor,Right,SU,0
TRvm,Left,SU,0
TRvm,Right,SU,0
Unbound,Left,SU,0
Unbound,Right,SU,0
BAla1/2,Left,suNB,2
BAla1/2,Right,suNB,3
BAla3/4,Left,suNB,1
BAla3/4,Right,suNB,1
BAlc,Left,suNB,3
BAlc,Right,suNB,1
BAlp1-3,Left,suNB,1
BAlp1-3,Right,suNB,2
BAlp4,Left,suNB,0
BAlp4,Right,suNB,1
BAlv,Left,suNB,1
BAlv,Right,suNB,1
BAmas1/2,Left,suNB,2
BAmas1/2,Right,suNB,3
BAmd1,Left,suNB,0
BAmd1,Right,suNB,0
BAmd2,Left,suNB,1
BAmd2,Right,suNB,1
BAmv1/2,Left,suNB,2
BAmv1/2,Right,suNB,2
BAmv3,Left,suNB,1
BAmv3,Right,suNB,1
BApd,Left,suNB,0
BApd,Right,suNB,0
BApv,Left,suNB,0
BApv,Right,suNB,0
BLAd1-4,Left,suNB,1
BLAd1-4,Right,suNB,1
BLAl,Left,suNB,2
BLAl,Right,suNB,1
BLAv1/2,Left,suNB,3
BLAv1/2,Right,suNB,1
BLAvm,Left,suNB,1
BLAvm,Right,suNB,2
BLD1,Left,suNB,0
BLD1,Right,suNB,0
BLD2-4,Left,suNB,1
BLD2-4,Right,suNB,1
BLD5/6,Left,suNB,0
BLD5/6,Right,suNB,2
BLP1/2,Left,suNB,3
BLP1/2,Right,suNB,2
BLP3/4,Left,suNB,1
BLP3/4,Right,suNB,1
BLVa1/2,Left,suNB,0
BLVa1/2,Right,suNB,1
BLVa3/4,Left,suNB,2
BLVa3/4,Right,suNB,2
BLVp1,Left,suNB,0
BLVp1,Right,suNB,1
BLVp2,Left,suNB,0
BLVp2,Right,suNB,0
BolwigsAxon,Left,suNB,0
BolwigsAxon,Right,suNB,0
CM1/3,Left,suNB,1
CM1/3,Right,suNB,1
CM4,Left,suNB,6
CM4,Right,suNB,4
CM4-CM5*,Left,suNB,0
CM4-CM5*,Right,suNB,0
CP1d,Left,suNB,1
CP1d,Right,suNB,2
CP1v,Left,suNB,0
CP1v,Right,suNB,0
CP2/3d,Left,suNB,1
CP2/3d,Right,suNB,0
CP2/3v,Left,suNB,1
CP2/3v,Right,suNB,2
CP4,Left,suNB,1
